j	i	rext	rint	rayon	dr	h	z_haut	z_bas
1	1	0.03256	0.01000	0.02128	0.02256	0.02375	0.02500	0.02250
1	2	0.04494	0.03256	0.03875	0.01239	0.02375	0.02500	0.02250
1	3	0.05459	0.04494	0.04977	0.00964	0.02375	0.02500	0.02250
1	4	0.06277	0.05459	0.05868	0.00818	0.02375	0.02500	0.02250
1	5	0.07000	0.06277	0.06638	0.00723	0.02375	0.02500	0.02250
1	6	0.07655	0.07000	0.07328	0.00655	0.02375	0.02500	0.02250
1	7	0.08258	0.07655	0.07957	0.00603	0.02375	0.02500	0.02250
1	8	0.08820	0.08258	0.08539	0.00562	0.02375	0.02500	0.02250
1	9	0.09349	0.08820	0.09085	0.00528	0.02375	0.02500	0.02250
1	10	0.09849	0.09349	0.09599	0.00500	0.02375	0.02500	0.02250
2	1	0.03256	0.01000	0.02128	0.02256	0.02125	0.02250	0.02000
2	2	0.04494	0.03256	0.03875	0.01239	0.02125	0.02250	0.02000
2	3	0.05459	0.04494	0.04977	0.00964	0.02125	0.02250	0.02000
2	4	0.06277	0.05459	0.05868	0.00818	0.02125	0.02250	0.02000
2	5	0.07000	0.06277	0.06638	0.00723	0.02125	0.02250	0.02000
2	6	0.07655	0.07000	0.07328	0.00655	0.02125	0.02250	0.02000
2	7	0.08258	0.07655	0.07957	0.00603	0.02125	0.02250	0.02000
2	8	0.08820	0.08258	0.08539	0.00562	0.02125	0.02250	0.02000
2	9	0.09349	0.08820	0.09085	0.00528	0.02125	0.02250	0.02000
2	10	0.09849	0.09349	0.09599	0.00500	0.02125	0.02250	0.02000
3	1	0.03256	0.01000	0.02128	0.02256	0.01875	0.02000	0.01750
3	2	0.04494	0.03256	0.03875	0.01239	0.01875	0.02000	0.01750
3	3	0.05459	0.04494	0.04977	0.00964	0.01875	0.02000	0.01750
3	4	0.06277	0.05459	0.05868	0.00818	0.01875	0.02000	0.01750
3	5	0.07000	0.06277	0.06638	0.00723	0.01875	0.02000	0.01750
3	6	0.07655	0.07000	0.07328	0.00655	0.01875	0.02000	0.01750
3	7	0.08258	0.07655	0.07957	0.00603	0.01875	0.02000	0.01750
3	8	0.08820	0.08258	0.08539	0.00562	0.01875	0.02000	0.01750
